________________________________________________________________________________
Shailesh systeem process logeerWed Nov 16 17:11:45 2022
________________________________________________________________________________
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'Memory(MB)': 0.05859375}
{'pid': 5688, 'name': 'svchost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 3.70703125}
{'pid': 5784, 'name': 'ZVCMD64.EXE', 'username': None, 'Memory(MB)': 0.6328125}
{'pid': 5808, 'name': 'conhost.exe', 'username': None, 'Memory(MB)': 6.53515625}
{'pid': 5840, 'name': 'EMAILSCN.EXE', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 11.13671875}
{'pid': 5888, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.59765625}
{'pid': 6012, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.71484375}
{'pid': 6100, 'name': 'ctfmon.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 4.1796875}
{'pid': 6228, 'name': 'powershell.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 53.4453125}
{'pid': 6236, 'name': 'fsnotifier.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 0.515625}
{'pid': 6296, 'name': 'WmiPrvSE.exe', 'username': None, 'Memory(MB)': 8.328125}
{'pid': 6308, 'name': 'MpCopyAccelerator.exe', 'username': None, 'Memory(MB)': 2.046875}
{'pid': 6488, 'name': 'conhost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 10.26171875}
{'pid': 6736, 'name': 'EMON.EXE', 'username': None, 'Memory(MB)': 9.18359375}
{'pid': 6804, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.80859375}
{'pid': 6928, 'name': 'explorer.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 93.90625}
{'pid': 7108, 'name': 'SynTPHelper.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 1.04296875}
{'pid': 7124, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 4.7734375}
{'pid': 7216, 'name': 'igfxEM.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 3.53515625}
{'pid': 7264, 'name': 'conhost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 6.1796875}
{'pid': 7280, 'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 29.5703125}
{'pid': 7392, 'name': 'igfxHK.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 2.51171875}
{'pid': 7488, 'name': 'WmiPrvSE.exe', 'username': None, 'Memory(MB)': 6.57421875}
{'pid': 7596, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 112.6953125}
{'pid': 7644, 'name': 'cmd.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 2.34765625}
{'pid': 7668, 'name': 'msedge.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 81.25390625}
{'pid': 7772, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.2578125}
{'pid': 7896, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 4.80859375}
{'pid': 7976, 'name': 'taskhostw.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 2.67578125}
{'pid': 8236, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 6.49609375}
{'pid': 8404, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 3.9296875}
{'pid': 8432, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 7.7890625}
{'pid': 8504, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 5.6640625}
{'pid': 8672, 'name': 'SearchApp.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 127.9921875}
{'pid': 8956, 'name': 'pycharm64.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 2113.953125}
{'pid': 9008, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 10.86328125}
{'pid': 9048, 'name': 'SearchIndexer.exe', 'username': None, 'Memory(MB)': 34.3671875}
{'pid': 9284, 'name': 'NPAV4.EXE', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 15.2109375}
{'pid': 9416, 'name': 'unsecapp.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 1.953125}
{'pid': 9528, 'name': 'APCONSVC.EXE', 'username': None, 'Memory(MB)': 23.73046875}
{'pid': 9580, 'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 1.75}
{'pid': 9620, 'name': 'SecurityHealthService.exe', 'username': None, 'Memory(MB)': 4.25390625}
{'pid': 9700, 'name': 'RtkNGUI64.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 7.93359375}
{'pid': 9740, 'name': 'msedge.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 40.88671875}
{'pid': 9804, 'name': 'SgrmBroker.exe', 'username': None, 'Memory(MB)': 4.30859375}
{'pid': 9852, 'name': 'msedge.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 1.98828125}
{'pid': 9860, 'name': 'DptfPolicyLpmServiceHelper.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 1.125}
{'pid': 9908, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 2.47265625}
{'pid': 9920, 'name': 'OneDrive.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 16.44921875}
{'pid': 9940, 'name': 'svchost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 5.3359375}
{'pid': 10048, 'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 25.09375}
{'pid': 10068, 'name': 'msedge.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 25.5234375}
{'pid': 10128, 'name': 'msedge.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 11.875}
{'pid': 10336, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 5.375}
{'pid': 10372, 'name': 'msedge.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 19.0859375}
{'pid': 10472, 'name': 'ZVMOUNT.EXE', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 2.78515625}
{'pid': 10504, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.3359375}
{'pid': 10532, 'name': 'smartscreen.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 7.796875}
{'pid': 10640, 'name': 'notepad.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 3.3203125}
{'pid': 10812, 'name': 'Cortana.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 29.15234375}
{'pid': 10824, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 2.09765625}
{'pid': 10996, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 3.68359375}
{'pid': 11148, 'name': 'svchost.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 6.45703125}
{'pid': 11204, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 140.4609375}
{'pid': 11288, 'name': 'SearchApp.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 380.546875}
{'pid': 11460, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 5.96484375}
{'pid': 11756, 'name': 'chrome.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 13.65625}
{'pid': 11944, 'name': 'LockApp.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 15.69921875}
{'pid': 12240, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 9.53125}
{'pid': 12540, 'name': 'NPAVIDS.EXE', 'username': None, 'Memory(MB)': 4.71875}
{'pid': 12552, 'name': 'conhost.exe', 'username': None, 'Memory(MB)': 6.1875}
{'pid': 12872, 'name': 'python.exe', 'username': 'DESKTOP-C0JTQKT\\Shailesh', 'Memory(MB)': 9.3515625}
{'pid': 13388, 'name': 'conhost.exe', 'username': None, 'Memory(MB)': 6.2265625}
{'pid': 14052, 'name': 'svchost.exe', 'username': None, 'Memory(MB)': 1.60546875}
{'pid': 14064, 'name': 'SearchFilterHost.exe', 'username': None, 'Memory(MB)': 2.08984375}
{'pid': 14180, 'name': 'SearchProtocolHost.exe', 'username': None, 'Memory(MB)': 2.78515625}
______________________Endfile______________________
